relative_year,beta_diff,se,ci_lo,ci_hi,delta_alt
-3,1.8841656814354573,8.7035870853206,-15.17455154210086,18.942882904971775,2.85326772097915
-2,0.10256321479874286,2.8799946360420092,-5.542122547512136,5.7472489771096225,1.9162280544813952
1,2.605962556596193,3.2373664879825905,-3.7391591646066065,8.951084277798993,-0.3362362579059144
2,-1.522205074594531,3.326195897856916,-8.041429239918955,4.997019090729893,-1.0812078975284878
3,-1.3637406449237917,5.085519962831301,-11.331176614732616,8.603695324885031,-1.4467155124324709
