deal_event_id,member_deal_ids,acquirer,target,company,src,Currency,Final_Classification,Classification_Confidence,Eligibility,InnovationDeal,is_primary_innovation,is_alternative,completion_year,calendar_year,RelativeYear,Revenue_m,Operating_Income_m,Net_Income_m,Total_Assets_m,Total_Debt_m,R_and_D_Expense_m,ROA_pct,Operating_Margin_pct,Leverage_pct,log_assets,leverage,acquirer_group,Post,treat,TreatPost
EVT-27796271,TRT-0045,Shire plc (Inactive),Premacure AB,Shire PLC (SHP LN) - BBG Adjusted,treatment,USD,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,2013,2010,-3,3471.1,794.1,588.0,5387.6,1107.9,661.5,11.75,22.88,20.5639,8.59185529572466,20.5639,Shire plc (Inactive),0,1,0
EVT-27796271,TRT-0045,Shire plc (Inactive),Premacure AB,Shire PLC (SHP LN) - BBG Adjusted,treatment,USD,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,2013,2011,-2,4263.4,1109.2,865.0,6380.2,1100.0,754.7,14.7,26.02,17.2408,8.760954723809881,17.2408,Shire plc (Inactive),0,1,0
EVT-27796271,TRT-0045,Shire plc (Inactive),Premacure AB,Shire PLC (SHP LN) - BBG Adjusted,treatment,USD,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,2013,2012,-1,4681.2,949.2,745.4,7317.2,1100.0,894.3,10.88,20.28,15.0331,8.897983020117143,15.0331,Shire plc (Inactive),0,1,0
EVT-27796271,TRT-0045,Shire plc (Inactive),Premacure AB,Shire PLC (SHP LN) - BBG Adjusted,treatment,USD,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,2013,2014,1,6022.1,1698.0,3405.5,13632.1,850.0,762.7,31.02,28.2,6.2353,9.520182584722942,6.2353,Shire plc (Inactive),1,1,1
EVT-27796271,TRT-0045,Shire plc (Inactive),Premacure AB,Shire PLC (SHP LN) - BBG Adjusted,treatment,USD,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,2013,2015,2,6416.7,1419.5,1303.4,16609.8,1581.4,905.8,8.62,22.12,9.5209,9.717748161595654,9.5209,Shire plc (Inactive),1,1,1
EVT-27796271,TRT-0045,Shire plc (Inactive),Premacure AB,Shire PLC (SHP LN) - BBG Adjusted,treatment,USD,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,2013,2016,3,11396.6,962.9,327.4,67035.4,22967.8,1430.9,0.78,8.45,34.2622,11.112976117050009,34.2622,Shire plc (Inactive),1,1,1
EVT-2D4C6B34,CTL-0298,Recordati S.p.A.,FarmaProjekt Sp. z o.o,Recordati Industria Chimica e Farmaceutica SpA,control,EUR,Alternative-rationale,High,Strict (100%),0,0,1,2012,2009,-3,747.524,169.363,110.56,823.479,111.261,69.445,13.4876,22.6565,13.5111,6.713538048381794,13.5111,Recordati,0,0,0
EVT-2D4C6B34,CTL-0298,Recordati S.p.A.,FarmaProjekt Sp. z o.o,Recordati Industria Chimica e Farmaceutica SpA,control,EUR,Alternative-rationale,High,Strict (100%),0,0,1,2012,2010,-2,728.134,155.084,108.571,901.074,116.877,68.841,12.5912,21.2988,12.9709,6.803587385201369,12.9709,Recordati,0,0,0
EVT-2D4C6B34,CTL-0298,Recordati S.p.A.,FarmaProjekt Sp. z o.o,Recordati Industria Chimica e Farmaceutica SpA,control,EUR,Alternative-rationale,High,Strict (100%),0,0,1,2012,2011,-1,762.036,166.15,116.434,977.464,162.689,55.956,12.3962,21.8034,16.644,6.884961462536828,16.644,Recordati,0,0,0
EVT-2D4C6B34,CTL-0298,Recordati S.p.A.,FarmaProjekt Sp. z o.o,Recordati Industria Chimica e Farmaceutica SpA,control,EUR,Alternative-rationale,High,Strict (100%),0,0,1,2012,2013,1,941.63,209.235,133.678,1283.811,311.092,74.725,11.2775,22.2205,24.2319,7.157588277153791,24.2319,Recordati,1,0,0
EVT-2D4C6B34,CTL-0298,Recordati S.p.A.,FarmaProjekt Sp. z o.o,Recordati Industria Chimica e Farmaceutica SpA,control,EUR,Alternative-rationale,High,Strict (100%),0,0,1,2012,2014,2,987.356,234.942,161.187,1375.225,323.035,85.267,12.1237,23.7951,23.4896,7.226372633077339,23.4896,Recordati,1,0,0
EVT-2D4C6B34,CTL-0298,Recordati S.p.A.,FarmaProjekt Sp. z o.o,Recordati Industria Chimica e Farmaceutica SpA,control,EUR,Alternative-rationale,High,Strict (100%),0,0,1,2012,2015,3,1047.676,282.228,198.792,1468.886,326.933,76.736,13.9792,26.9385,22.2572,7.292259569350429,22.2572,Recordati,1,0,0
EVT-366076A1,CTL-0263;CTL-0264,Vectura Group Ltd,Vectura GmbH,Vectura Group Ltd,control,EUR,High-confidence innovation-driven,High,Strict (100%),1,1,0,2014,2011,-3,50.4944,-12.7119,-10.3578,189.7341,0.0,41.4313,-5.1613,-25.1748,0.0,5.245623618298384,0.0,Vectura,0,1,0
EVT-366076A1,CTL-0263;CTL-0264,Vectura Group Ltd,Vectura GmbH,Vectura Group Ltd,control,EUR,High-confidence innovation-driven,High,Strict (100%),1,1,0,2014,2012,-2,38.2593,-16.1153,-5.1012,198.2682,0.0,38.0274,-2.6434,-42.1212,0.0,5.289620659579983,0.0,Vectura,0,1,0
EVT-366076A1,CTL-0263;CTL-0264,Vectura Group Ltd,Vectura GmbH,Vectura Group Ltd,control,EUR,High-confidence innovation-driven,High,Strict (100%),1,1,0,2014,2013,-1,37.4503,-14.3662,-7.2445,185.1516,0.0,37.9414,-3.6703,-38.3607,0.0,5.221174948964195,0.0,Vectura,0,1,0
EVT-366076A1,CTL-0263;CTL-0264,Vectura Group Ltd,Vectura GmbH,Vectura Group Ltd,control,EUR,High-confidence innovation-driven,High,Strict (100%),1,1,0,2014,2015,1,73.9317,-8.9228,4.7163,406.0795,0.0,46.0161,1.2292,-12.069,0.0,6.006548953240789,0.0,Vectura,1,1,1
EVT-366076A1,CTL-0263;CTL-0264,Vectura Group Ltd,Vectura GmbH,Vectura Group Ltd,control,EUR,High-confidence innovation-driven,High,Strict (100%),1,1,0,2014,2016,2,98.322,0.6828,6.8279,361.4625,0.0,57.4911,1.7262,0.6944,0.0,5.890158301778196,0.0,Vectura,1,1,1
EVT-366076A1,CTL-0263;CTL-0264,Vectura Group Ltd,Vectura GmbH,Vectura Group Ltd,control,EUR,High-confidence innovation-driven,High,Strict (100%),1,1,0,2014,2017,3,168.9625,-94.756,-97.8384,808.2677,0.0,68.8408,-17.0666,-56.0811,0.0,6.694893315530622,0.0,Vectura,1,1,1
EVT-4AA783E7,CTL-0207,Zambon SpA,Nigaard Pharma AS,Zambon SpA,control,EUR,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,2015,2012,-3,465.168,53.301,36.593,369.475,16.926,,10.3209,11.4584,4.5811,5.912083079100636,4.5811,Zambon SpA,0,0,0
EVT-4AA783E7,CTL-0207,Zambon SpA,Nigaard Pharma AS,Zambon SpA,control,EUR,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,2015,2013,-2,477.3452,46.2923,29.6136,393.0043,12.2402,,7.7677,9.6979,3.1145,5.973820553285231,3.1145,Zambon SpA,0,0,0
EVT-4AA783E7,CTL-0207,Zambon SpA,Nigaard Pharma AS,Zambon SpA,control,EUR,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,2015,2014,-1,523.314,53.404,33.196,418.634,0.0,,8.18,10.205,0.0,6.036997029838181,0.0,Zambon SpA,0,0,0
